year	carrier	arr_flights
2004	AA	698548.0
2005	AA	673569.0
2006	AA	643597.0
2007	AA	633857.0
2008	AA	604885.0
2009	AA	551597.0
2010	AA	540963.0
2011	AA	538179.0
2012	AA	525220.0
2013	AA	537891.0
2014	AA	537697.0
2004	CO	299329.0
2005	CO	296661.0
2006	CO	309389.0
2007	CO	323151.0
2008	CO	298455.0
2009	CO	258159.0
2010	CO	239271.0
2011	CO	245318.0
2004	DL	687638.0
2005	DL	658302.0
2006	DL	506086.0
2007	DL	475889.0
2008	DL	451931.0
2009	DL	428007.0
2010	DL	732973.0
2011	DL	732331.0
2012	DL	726879.0
2013	DL	754670.0
2014	DL	800375.0
2004	EV	278861.0
2005	EV	304647.0
2006	EV	273143.0
2007	EV	286234.0
2008	EV	280575.0
2009	EV	299000.0
2010	EV	319921.0
2011	EV	327845.0
2012	EV	740855.0
2013	EV	748696.0
2014	EV	686021.0
2004	FL	162558.0
2005	FL	195392.0
2006	FL	237645.0
2007	FL	263159.0
2008	FL	261684.0
2009	FL	251415.0
2010	FL	248844.0
2011	FL	248703.0
2012	FL	218162.0
2013	FL	173952.0
2014	FL	79495.0
2004	HP	195939.0
2005	HP	197853.0
2004	MQ	483088.0
2005	MQ	532032.0
2006	MQ	550088.0
2007	MQ	540494.0
2008	MQ	490693.0
2009	MQ	437009.0
2010	MQ	436976.0
2011	MQ	448178.0
2012	MQ	473140.0
2013	MQ	439865.0
2014	MQ	392701.0
2004	NW	507286.0
2005	NW	480832.0
2006	NW	432880.0
2007	NW	414526.0
2008	NW	347652.0
2009	NW	293133.0
2004	OO	463448.0
2005	OO	517454.0
2006	OO	548109.0
2007	OO	597880.0
2008	OO	567157.0
2009	OO	547572.0
2010	OO	599620.0
2011	OO	587372.0
2012	OO	617756.0
2013	OO	626359.0
2014	OO	613030.0
2004	UA	555812.0
2005	UA	485918.0
2006	UA	500008.0
2007	UA	490002.0
2008	UA	449515.0
2009	UA	377049.0
2010	UA	343081.0
2011	UA	311212.0
2012	UA	531245.0
2013	UA	505798.0
2014	UA	493528.0
2004	US	419919.0
2005	US	425609.0
2006	US	504844.0
2007	US	485447.0
2008	US	453589.0
2009	US	413907.0
2010	US	407111.0
2011	US	408922.0
2012	US	404263.0
2013	US	412373.0
2014	US	414665.0
2004	WN	990404.0
2005	WN	1036034.0
2006	WN	1099321.0
2007	WN	1168871.0
2008	WN	1201754.0
2009	WN	1132278.0
2010	WN	1124487.0
2011	WN	1155717.0
2012	WN	1140535.0
2013	WN	1130704.0
2014	WN	1174633.0
2006	XE	226732.0
2007	XE	434773.0
2008	XE	374510.0
2009	XE	310717.0
2010	XE	385077.0
2011	XE	413286.0
