	year	joined_carrier_name	joined_carrier	arr_del15	carrier_ct	late_aircraft_ct	carrier_delay_percentage	carrier_late_aircraft_ct	total_carrier_delay_percentage
21	2003	American Airlines Inc.	AA	145264.0	35757.28000000002	35453.96999999999	0.24615376142747014	8727.12807303668	0.3062314687261586
22	2004	American Airlines Inc.	AA	271996.0	66805.60999999994	75638.27999999994	0.24561247224223864	18577.70494695066	0.31391386250882586
23	2005	American Airlines Inc.	AA	271009.0	71199.51999999996	79625.81999999993	0.2627201310657578	20919.305866618422	0.3399105781233036
24	2006	American Airlines Inc.	AA	255898.0	65408.73999999999	76145.92999999998	0.2556047331358588	19463.26011703178	0.3316633975921335
25	2007	American Airlines Inc.	AA	320171.0	84326.98999999989	100714.21999999977	0.26338109947496774	26526.221996363725	0.34623127015364796
26	2008	American Airlines Inc.	AA	245957.0	65192.10999999997	72063.59000000008	0.26505490797171855	19100.80821556168	0.34271404438809083
27	2009	American Airlines Inc.	AA	187918.0	53315.46000000001	50123.559999999954	0.283716621079407	14220.887079670907	0.3593926450881284
28	2010	American Airlines Inc.	AA	161231.0	48251.57999999996	42640.69000000004	0.29926986745725054	12761.07364458572	0.378417634602438
29	2011	American Airlines Inc.	AA	179215.0	56749.97999999997	46466.440000000046	0.3166586502245904	14714.00017114193	0.39876115376024274
30	2012	American Airlines Inc.	AA	162347.0	51125.580000000096	45249.39999999994	0.3149154588628068	14249.735564266672	0.4026887812171877
31	2013	American Airlines Inc.	AA	180656.0	51697.719999999965	57035.950000000135	0.28616663714462826	16321.7860078492	0.3765139602772627
32	2014	American Airlines Inc.	AA	192347.0	57889.25000000002	59340.970000000074	0.30096258324798425	17859.411623641157	0.3938125451587037
33	2015	American Airlines Inc.	AA	166828.0	53919.28000000002	48586.45999999991	0.323202819670559	15703.2808698108	0.41733138843486
34	2016	American Airlines Inc.	AA	84962.0	26217.879999999997	25631.120000000006	0.3085836020809303	7909.343334968576	0.4016763180594686
35	2003	American Eagle Airlines Inc.	MQ	49259.0	12078.889999999981	17471.98999999999	0.24521183946080882	4284.338806940855	0.33218759631622313
36	2004	American Eagle Airlines Inc.	MQ	111025.0	26680.119999999977	40678.39000000003	0.24030731817158277	9775.314808437737	0.32835338715098145
37	2005	American Eagle Airlines Inc.	MQ	108852.0	27442.80000000001	38513.37999999998	0.25211112336015884	9709.65149619667	0.3413116111435406
38	2006	American Eagle Airlines Inc.	MQ	135620.0	33044.24	55340.87999999996	0.2436531485031706	13483.979652936134	0.3430778620626466
39	2007	American Eagle Airlines Inc.	MQ	142567.0	33599.60000000001	57982.33999999999	0.23567585766692162	13665.037709035054	0.3315257928485208
40	2008	American Eagle Airlines Inc.	MQ	113672.0	28045.609999999975	43362.749999999985	0.24672399535505643	10698.63092958247	0.34084243199365233
41	2009	American Eagle Airlines Inc.	MQ	87366.0	23118.51	32622.45	0.2646167845614999	8632.447823518303	0.3634246483016082
42	2010	American Eagle Airlines Inc.	MQ	87136.0	23426.680000000008	31330.759999999987	0.268851909658465	8423.334657051046	0.3655207337616032
43	2011	American Eagle Airlines Inc.	MQ	87174.0	23452.38	28271.200000000008	0.2690295271525914	7605.787568036343	0.35627787606438094
